Cheetah,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Mammalia,182.5263958333303
Theria,166.9987683333303
Eutheria,108.34299128204832
Boreoeutheria,100.78521379084671
Laurasiatheria,92.7654416666636
2034426,85.2091476190446
2034427,81.725849999997
2034428,80.3470333333303
2034429,79.4902633333303
Carnivora,58.2935467816062
Feliformia,50.2501176190446
2035196,44.033333333330305
2035197,44.033333333330305
Felidae,18.6062916666636
Acinonyx,10.969812499996973
Acinonyx jubatus,3.3333333333303017
