Poppy,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333297
Streptophyta,757.1458473333297
Embryophyta,554.8835853333297
48507,518.4392558333298
Tracheophyta,435.0522522222187
Euphyllophyta,407.9247917948677
Spermatophyta,321.3497333333297
Magnoliophyta,191.29828333332972
Mesangiospermae,158.3333333333297
55894,146.3091085518487
55895,143.0961526666627
eudicotyledons,131.53834272332972
stem eudicotyledons,130.3333333333297
229433,130.3333333333297
Ranunculales,120.4071076190437
Papaveraceae,99.56522920634569
Papaveroideae,66.83815466666299
Papaver,23.745918359303687
