Onion,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.05225222221935
Euphyllophyta,407.9247917948683
Spermatophyta,321.34973333333033
Magnoliophyta,191.29828333333035
Mesangiospermae,158.33333333333033
237140,158.33333333333033
Liliopsida,138.36324829059532
Petrosaviidae,123.47950444444132
242773,123.33333333333032
242774,120.33333333333032
Asparagales,98.25734280158451
Amaryllidaceae,45.344686666663605
Allioideae,34.007839206346205
Allieae,27.3371177777747
Allium,33.3333333333303
Allium cepa,3.3333333333303017
