Cinnamon,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.2982833333303
Mesangiospermae,158.3333333333303
55894,146.3091085518493
Magnoliidae,136.4157949999973
232802,127.3046453870143
Laurales,114.1904761904733
Lauraceae,78.9823352180227
Cinnamomum,28.966666666663603
Cinnamomum verum,3.3333333333303017
