Olives,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333301
Streptophyta,757.14584733333
Embryophyta,554.8835853333301
48507,518.4392558333301
Tracheophyta,435.0522522222191
Euphyllophyta,407.9247917948681
Spermatophyta,321.3497333333301
Magnoliophyta,191.29828333333012
Mesangiospermae,158.33333333333013
55894,146.30910855184914
55895,143.09615266666313
eudicotyledons,131.53834272333012
Gunneridae,124.33333333333013
55910,124.33333333333013
Pentapetalae,124.33333333333013
147703,120.35221133333013
147704,118.99434696060314
147705,117.57880256490914
asterids,116.15861803921214
148257,111.33333333333015
148258,111.33333333333015
lamiids,98.12248119444125
Lamiales,75.60652033333015
Oleaceae,47.63333333333015
Oleeae,40.14140266666345
