Millipedes,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333298
563254,939.3333333333298
Metazoa,939.3333333333298
Eumetazoa,939.3333333333298
564202,939.3333333333298
Bilateria,850.3327392156829
Protostomia,747.3333333333298
Ecdysozoa,747.3333333333298
Panarthropoda,747.3333333333298
Arthropoda,673.0005333333298
Mandibulata,646.6913333333298
Myriapoda,497.71333333332984
1658682,449.51999999999686
Diplopoda,447.33333333332985
