Storks,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata (1993220),634.65442133333
Gnathostomata,486.22776681333005
Euteleostomi,432.95528812878507
Sarcopterygii,415.19143725097706
Dipnotetrapodomorpha,415.19143725097706
Tetrapoda,359.07544516969404
Amniota,323.85715666666306
Sauria,281.10998724637307
Testudines + Archosauria group,255.92490701754107
Archosauria,241.67019874999707
Dinosauria,185.49056785139007
Coelurosauria,141.7947951357291
Aves,120.79663696969408
Neognathae,105.60974721794508
2009853,95.23077045640699
2009854,93.14222084761579
2009855,91.13333333333009
2021136,91.13333333333009
2021137,91.13333333333009
Ciconiiformes,84.85183338710928
Ciconiidae,29.40894479999679
