Bears,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133296
Euteleostomi,432.9552881287846
Sarcopterygii,415.1914372509766
Dipnotetrapodomorpha,415.1914372509766
Tetrapoda,359.0754451696936
Amniota,323.8571566666626
Mammalia,182.52639583332962
Theria,166.99876833332962
Eutheria,108.34299128204763
Boreoeutheria,100.78521379084603
Laurasiatheria,92.76544166666292
2034426,85.20914761904392
2034427,81.72584999999631
2034428,80.34703333332962
2034429,79.49026333332962
Carnivora,58.29354678160552
Caniformia,49.08976770175072
2034629,43.62108333332962
Ursidae,19.386039980756323
