Ostrich,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.0754451696943
Amniota,323.85715666666334
Sauria,281.10998724637335
Testudines + Archosauria group,255.92490701754133
Archosauria,241.67019874999733
Dinosauria,185.49056785139032
Coelurosauria,141.79479513572932
Aves,120.7966369696943
Palaeognathae,92.8333333333303
2009075,92.8333333333303
2009076,76.73333333333031
2009077,76.73333333333031
Struthioniformes,49.97291666666361
Struthio,27.799999999997002
Struthio camelus,3.3333333333303017
