Oat,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.2982833333303
Mesangiospermae,158.3333333333303
237140,158.3333333333303
Liliopsida,138.3632482905953
Petrosaviidae,123.4795044444413
242773,123.3333333333303
commelinids,123.3333333333303
280511,112.3333333333303
280512,112.3333333333303
Poales,112.3333333333303
280514,109.2759415151483
280515,107.5585913333303
280516,98.125429999997
280517,98.0373813333303
281106,72.9333333333303
281107,72.9333333333303
Poaceae,63.849999999996996
BEP clade,45.3025633333303
Pooideae,31.25548301587
Poeae,20.1887216507906
Aveninae,11.794350333330302
Avena,5.616333333330301
Avena sativa,3.3333333333303017
