Gnu,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133295
Euteleostomi,432.9552881287845
Sarcopterygii,415.1914372509765
Dipnotetrapodomorpha,415.1914372509765
Tetrapoda,359.0754451696935
Amniota,323.85715666666255
Mammalia,182.52639583332956
Theria,166.99876833332956
Eutheria,108.34299128204755
Boreoeutheria,100.78521379084594
Laurasiatheria,92.76544166666284
2034426,85.20914761904383
2034427,81.72584999999623
Cetartiodactyla,68.14305874999624
2036554,66.83969999999624
2036555,59.657359259255436
Ruminantia,50.430699999996236
Pecora,32.162983333329535
2037538,29.333333333329538
2037539,29.333333333329538
Bovidae,23.115008007932737
Alcelaphinae,13.760853333329539
2037797,13.48043333332954
Connochaetes,6.111733333329539
